skolenavn,year,karsnit
Amager Fælled Skole,2012,4.8
Bavnehøj Skole,2012,4.8
Bellahøj Skole,2012,6.6
Blågård Skole,2012,5.6
Brønshøj Skole,2012,6.4
Christianshavns Skole,2012,6.8
Damhusengens Skole,2012,7.3
Den Classenske Legatskole,2012,7.5
Dyvekeskolen,2012,5.5
Ellebjerg Skole,2012,6.6
Gerbrandskolen,2012,6.3
Grøndalsvængets Skole,2012,6.0
Guldberg Skole,2012,5.2
Hanssted Skole,2012,6.8
Heibergskolen,2012,7.3
Hillerødgades Skole,2012,5.6
Holbergskolen,2012,6.4
Husum Skole,2012,6.9
Højdevangens Skole,2012,6.0
Katrinedals Skole,2012,6.9
Kildevældsskolen,2012,4.6
Kirkebjerg Skole,2012,6.7
Kirsebærhavens Skole,2012,5.1
Korsager Skole,2012,5.6
Langelinieskolen,2012,6.7
Lergravsparkens Skole,2012,4.5
Lundehusskolen,2012,5.7
Lykkebo Skole,2012,5.5
Nyboder Skole,2012,7.7
Nørre Fælled Skole,2012,4.6
Nørrebro Park Skole,2012,5.1
Oehlenschlægersgades Skole,2012,5.9
Peder Lykke Skolen,2012,5.7
Randersgades Skole,2012,7.0
Rødkilde Skole,2012,5.7
Rådmandsgades Skole,2012,4.2
Sankt Annæ Gymnasiums Grundskole,2012,7.9
Skolen på Amagerbro,2012,5.0
Skolen på Islands Brygge,2012,6.0
Skolen ved Sundet,2012,6.4
Sortedamskolen,2012,6.9
Strandvejsskolen,2012,5.3
Sundbyøster Skole,2012,4.8
Sølvgades Skole,2012,6.8
Tagensbo Skole,2012,3.7
Tingbjerg Skole,2012,5.1
Tove Ditlevsens Skole,2012,6.5
Utterslev Skole,2012,6.3
Valby Skole,2012,5.2
Vesterbro Ny Skole,2012,4.7
Vibenshus Skole,2012,6.7
Vigerslev Allés Skole,2012,6.0
Øster Farimagsgades Skole,2012,7.5
Ålholm Skole,2012,6.7
Amager Fælled Skole,2013,4.9
Bavnehøj Skole,2013,5.6
Bellahøj Skole,2013,6.4
Blågård Skole,2013,5.8
Brønshøj Skole,2013,6.1
Christianshavns Skole,2013,6.6
Damhusengens Skole,2013,6.7
Den Classenske Legatskole,2013,7.3
Dyvekeskolen,2013,5.7
Ellebjerg Skole,2013,4.7
Gerbrandskolen,2013,6.9
Grøndalsvængets Skole,2013,5.8
Guldberg Skole,2013,6.9
Hanssted Skole,2013,7.2
Heibergskolen,2013,8.5
Holbergskolen,2013,7.7
Husum Skole,2013,6.2
Højdevangens Skole,2013,6.4
Katrinedals Skole,2013,7.3
Kildevældsskolen,2013,6.1
Kirkebjerg Skole,2013,5.1
Korsager Skole,2013,5.3
Langelinieskolen,2013,7.2
Lergravsparkens Skole,2013,6.4
Lundehusskolen,2013,5.1
Lykkebo Skole,2013,4.2
Nyboder Skole,2013,7.4
Nørre Fælled Skole,2013,5.4
Nørrebro Park Skole,2013,6.1
Oehlenschlægersgades Skole,2013,6.5
Peder Lykke Skolen,2013,5.8
Randersgades Skole,2013,7.5
Rødkilde Skole,2013,6.2
Rådmandsgades Skole,2013,5.7
Sankt Annæ Gymnasiums Grundskole,2013,8.5
Skolen på Amagerbro,2013,4.7
Skolen på Islands Brygge,2013,6.9
Skolen ved Sundet,2013,7.1
Sortedamskolen,2013,7.1
Strandvejsskolen,2013,6.6
Sundbyøster Skole,2013,4.3
Sølvgades Skole,2013,7.6
Tagensbo Skole,2013,4.5
Tingbjerg Skole,2013,4.2
Tove Ditlevsens Skole,2013,6.4
Utterslev Skole,2013,6.9
Valby Skole,2013,5.9
Vesterbro Ny Skole,2013,6.5
Vibenshus Skole,2013,6.8
